ad_id,seller_id,category,title,posted_date,sold_date,deletion_date,price,status
1,13,Esportes,Item Delectus 36,2025-06-30,,2025-07-15,130.0,Deleted
2,53,Esportes,Item Magni 95,2025-09-25,2025-11-12,,447.17,Sold
3,217,Eletrônicos,Item Amet 4,2025-11-06,2025-12-14,,55.91,Sold
4,309,Eletrônicos,Item Dolorem 72,2025-11-20,2025-12-23,,107.43,Sold
5,280,Brinquedos,Item Aspernatur 29,2025-04-08,,2025-07-07,230.11,Deleted
6,415,Eletrônicos,Item Minus 98,2025-09-24,,,404.85,Active
7,175,Roupas,Item Molestiae 20,2025-11-03,,2025-12-28,115.5,Deleted
8,53,Eletrônicos,Item Vel 49,2025-10-29,,,57.39,Active
9,310,Roupas,Item Eum 6,2025-08-18,,,367.57,Active
10,499,Brinquedos,Item Corrupti 11,2025-05-09,,2025-05-25,280.5,Deleted
11,454,Roupas,Item Beatae 74,2024-12-29,,2025-03-19,104.22,Deleted
12,339,Móveis,Item Dicta 99,2025-05-24,2025-05-27,,151.8,Sold
13,120,Eletrônicos,Item Eum 49,2025-07-30,2025-09-23,,146.21,Sold
14,84,Roupas,Item Delectus 46,2025-11-02,,2025-12-19,112.66,Deleted
15,360,Esportes,Item Ipsum 83,2025-05-14,,,44.99,Active
16,274,Esportes,Item Accusantium 32,2025-07-08,,2025-07-30,90.07,Deleted
17,139,Esportes,Item Illo 89,2025-03-03,,,282.91,Active
18,432,Eletrônicos,Item Minus 30,2025-12-22,,2026-02-02,412.68,Deleted
19,206,Roupas,Item Excepturi 9,2025-08-14,,,113.38,Active
20,109,Esportes,Item Accusamus 64,2025-01-04,,2025-02-14,203.86,Deleted
21,74,Roupas,Item Quae 18,2025-08-27,,2025-10-25,130.85,Deleted
22,135,Esportes,Item Inventore 75,2025-08-25,,2025-11-02,219.93,Deleted
23,186,Móveis,Item Ad 18,2025-03-02,,2025-04-23,259.67,Deleted
24,441,Eletrônicos,Item Quidem 20,2025-12-22,2025-12-23,,317.45,Sold
25,306,Eletrônicos,Item Dolor 50,2025-10-23,,2025-12-17,196.99,Deleted
26,271,Roupas,Item Rerum 71,2025-05-01,,,431.78,Active
27,370,Eletrônicos,Item Optio 88,2025-03-12,2025-04-25,,443.55,Sold
28,394,Esportes,Item Recusandae 44,2025-01-25,,,64.66,Active
29,81,Brinquedos,Item Adipisci 1,2025-12-16,,,477.37,Active
30,498,Livros,Item Saepe 98,2025-02-06,,2025-03-12,97.54,Deleted
31,321,Roupas,Item Doloremque 82,2025-07-29,2025-09-23,,258.75,Sold
32,192,Móveis,Item Doloribus 70,2025-05-17,2025-05-27,,477.21,Sold
33,307,Roupas,Item Eveniet 63,2025-08-29,,2025-08-30,19.54,Deleted
34,450,Roupas,Item Animi 31,2025-03-02,,,38.38,Active
35,44,Esportes,Item Quos 63,2025-08-08,,2025-08-19,409.85,Deleted
36,66,Esportes,Item Et 61,2025-11-17,,2025-12-04,473.96,Deleted
37,271,Livros,Item Laudantium 55,2025-08-31,2025-09-17,,482.54,Sold
38,103,Esportes,Item Quis 40,2025-10-10,,2026-01-07,205.51,Deleted
39,192,Brinquedos,Item Voluptate 67,2025-03-26,,2025-06-18,231.23,Deleted
40,33,Roupas,Item Dolor 3,2025-11-29,2025-12-14,,298.27,Sold
41,113,Eletrônicos,Item Laborum 10,2025-01-31,2025-03-10,,356.84,Sold
42,464,Eletrônicos,Item Aliquid 43,2025-12-22,2025-12-23,,44.72,Sold
43,343,Brinquedos,Item Ab 28,2025-03-17,2025-04-04,,274.22,Sold
44,296,Brinquedos,Item Enim 32,2025-08-20,,2025-11-02,394.46,Deleted
45,98,Eletrônicos,Item Sapiente 13,2025-07-15,,,332.9,Active
46,217,Brinquedos,Item Ipsam 60,2025-01-31,,,433.28,Active
47,32,Brinquedos,Item Recusandae 94,2025-12-22,2025-12-23,,176.26,Sold
48,99,Móveis,Item Deleniti 69,2025-03-07,2025-03-23,,229.82,Sold
49,94,Roupas,Item Accusantium 60,2025-04-27,,,132.41,Active
50,414,Livros,Item Ratione 13,2025-02-05,2025-03-06,,34.79,Sold
51,497,Eletrônicos,Item Eveniet 97,2025-05-30,,2025-06-01,425.86,Deleted
52,249,Brinquedos,Item Blanditiis 28,2025-06-25,2025-07-22,,433.68,Sold
53,195,Eletrônicos,Item Quae 50,2025-02-27,2025-03-10,,139.95,Sold
54,147,Brinquedos,Item Quam 90,2025-11-14,,,479.09,Active
55,368,Brinquedos,Item Eligendi 20,2025-07-20,,2025-10-13,103.05,Deleted
56,297,Esportes,Item Similique 70,2025-07-29,2025-08-02,,39.87,Sold
57,30,Eletrônicos,Item Ipsa 75,2025-07-14,,,243.63,Active
58,30,Livros,Item Dignissimos 11,2025-08-27,,2025-09-17,427.16,Deleted
59,35,Esportes,Item Dolorum 31,2025-01-01,2025-02-09,,207.85,Sold
60,297,Livros,Item Adipisci 6,2025-05-30,,2025-07-01,313.5,Deleted
61,337,Livros,Item Quaerat 73,2025-08-13,,,266.16,Active
62,105,Esportes,Item Facilis 92,2025-02-25,,,163.95,Active
63,203,Móveis,Item Dolorum 86,2025-03-01,,,326.3,Active
64,162,Eletrônicos,Item Nihil 2,2025-06-24,,,234.56,Active
65,38,Livros,Item Eveniet 28,2025-03-25,,2025-04-07,257.88,Deleted
66,179,Eletrônicos,Item Ex 32,2025-07-13,2025-09-11,,191.07,Sold
67,427,Livros,Item Perspiciatis 91,2025-02-09,2025-03-10,,158.23,Sold
68,5,Esportes,Item Animi 71,2025-08-13,,2025-10-20,156.7,Deleted
69,481,Móveis,Item Tempora 34,2025-11-16,,2025-11-30,66.56,Deleted
70,284,Móveis,Item Unde 35,2025-03-30,2025-05-17,,148.06,Sold
71,176,Móveis,Item Repellat 88,2025-06-20,2025-08-05,,320.78,Sold
72,259,Brinquedos,Item Asperiores 33,2025-08-30,,,453.61,Active
73,325,Brinquedos,Item Impedit 36,2025-11-07,2025-11-13,,31.6,Sold
74,395,Móveis,Item Perferendis 82,2025-05-07,,,490.1,Active
75,227,Livros,Item Earum 91,2025-10-10,2025-11-27,,219.57,Sold
76,39,Esportes,Item Pariatur 20,2025-04-28,2025-05-06,,277.34,Sold
77,299,Livros,Item Quae 19,2025-06-10,,,220.6,Active
78,187,Eletrônicos,Item Autem 46,2025-09-25,2025-10-15,,112.94,Sold
