search_id,user_id,search_query,search_date
1,333,cadeira gamer,2025-04-21
2,189,iphone,2025-11-27
3,35,camisa,2025-01-27
4,211,bola,2025-08-08
5,393,cadeira gamer,2025-10-03
6,256,sofá,2025-09-22
7,365,tênis,2025-12-18
8,406,cadeira gamer,2025-02-15
9,88,bola,2025-07-28
10,492,sofá,2025-09-19
11,308,ps5,2025-10-16
12,324,monitor,2025-12-22
13,348,mesa,2025-07-19
14,171,mesa,2025-12-20
15,326,ps5,2025-11-30
16,436,livro bi,2025-08-27
17,35,ps5,2025-07-25
18,10,cadeira gamer,2025-08-31
19,467,cadeira gamer,2025-04-12
20,230,monitor,2025-03-16
21,262,camisa,2025-08-21
22,258,cadeira gamer,2025-10-31
23,361,iphone,2025-03-18
24,120,iphone,2025-03-02
25,316,sofá,2025-11-18
26,159,camisa,2025-10-01
27,378,monitor,2025-04-11
28,388,camisa,2025-01-30
29,318,sofá,2025-11-21
30,31,mesa,2025-09-30
31,192,livro bi,2025-04-20
32,152,camisa,2025-12-17
33,78,monitor,2025-07-30
34,105,iphone,2025-05-05
35,122,cadeira gamer,2025-04-29
36,485,livro bi,2025-11-17
37,379,ps5,2025-05-01
38,69,bola,2025-06-18
39,163,iphone,2025-01-08
40,267,monitor,2025-09-10
41,332,bola,2025-11-09
42,385,iphone,2025-04-03
43,118,ps5,2025-01-26
44,176,camisa,2025-05-16
45,106,tênis,2025-03-28
46,28,camisa,2025-11-01
47,411,camisa,2025-07-18
48,312,monitor,2025-11-20
49,267,ps5,2025-07-16
50,94,livro bi,2025-06-11
51,323,iphone,2025-12-10
52,34,livro bi,2025-07-14
53,36,camisa,2025-08-06
54,27,mesa,2025-11-02
55,481,camisa,2025-05-01
56,65,sofá,2025-10-14
57,89,cadeira gamer,2025-01-13
58,282,camisa,2025-03-31
59,121,tênis,2025-04-26
60,41,monitor,2025-05-23
61,372,livro bi,2025-02-06
62,160,mesa,2025-11-09
63,370,camisa,2025-07-03
64,126,monitor,2025-11-13
65,91,cadeira gamer,2025-11-05
66,128,bola,2025-04-08
67,147,cadeira gamer,2025-02-11
68,230,camisa,2025-02-24
69,140,livro bi,2025-03-07
70,41,ps5,2025-10-13
71,204,monitor,2025-05-29
72,86,livro bi,2025-10-20
73,226,monitor,2025-09-06
74,259,cadeira gamer,2025-11-10
75,377,monitor,2025-12-02
76,390,mesa,2025-08-22
77,420,livro bi,2025-04-19
78,11,monitor,2025-05-13
79,219,sofá,2025-08-18
80,389,bola,2025-08-22
81,305,tênis,2025-03-31
82,79,tênis,2025-04-14
83,373,mesa,2025-12-06
84,132,monitor,2025-05-15
85,238,bola,2025-11-27
86,233,bola,2025-07-26
87,193,tênis,2025-04-12
88,311,livro bi,2025-08-31
89,37,ps5,2025-09-26
90,70,livro bi,2025-03-04
91,101,mesa,2025-05-25
92,470,camisa,2025-03-01
93,3,iphone,2025-10-01
94,442,tênis,2025-11-01
95,374,ps5,2025-12-14
96,252,monitor,2025-01-23
97,474,monitor,2025-04-25
98,482,monitor,2025-04-04
99,497,ps5,2025-09-04
100,197,livro bi,2025-06-22
101,158,cadeira gamer,2025-01-18
102,37,monitor,2025-01-01
103,454,iphone,2025-10-14
104,472,sofá,2025-03-24
105,198,cadeira gamer,2024-12-26
106,84,camisa,2025-05-26
107,391,monitor,2025-02-20
108,491,bola,2025-09-09
109,395,ps5,2025-10-01
110,261,livro bi,2025-12-08
111,326,ps5,2025-06-11
112,357,iphone,2025-04-28
113,334,monitor,2025-05-16
114,475,monitor,2025-05-11
115,377,camisa,2025-04-20
